fdat,Ychng,Yfit1,Yfit3,Yfit4
2021-10-01,-1.3161924603174602,-1.7038295174164433,-1.7372522418967447,-1.7485062525866588
2022-01-01,-1.407515811965812,-1.5826282251885797,-1.5957356330789292,-1.5990690517898132
2022-04-01,-1.1177823671497586,-1.464221143738886,-1.4694031827859018,-1.478241293528735
2022-07-01,-1.010457407407408,-1.3520422547896034,-1.3144068760324423,-1.2808429176629545
2022-10-01,-0.832616666666667,-1.3875849290197768,-1.3556403101758079,-1.326527434705861
2023-01-01,-1.4574567460317458,-1.485291606657404,-1.4964734078100692,-1.5276682850685412
2023-04-01,-1.4916638888888887,-1.4854227052709028,-1.494734411293017,-1.5236225550918565
2023-07-01,-1.4807674603174603,-1.5298864816666369,-1.5361244528732665,-1.5566093804825611
2023-10-01,-1.465838888888889,-1.5274660511411737,-1.5323020373222263,-1.5511733770412712
2024-01-01,-1.6380944444444445,-1.5581944023298306,-1.5608700629856302,-1.573679458674926
2024-04-01,-1.4850424603174601,-1.5257312938060308,-1.5359339388828488,-1.5565202334905959
2024-07-01,-1.6077425925925923,-1.5742727984283569,-1.5814502464825009,-1.5932000641375543
2024-10-01,-1.623696581196581,-1.6236965811965802,-1.62369658119658,-1.6236965811965796
