ltfdat,CPI10mn,CPI10mntr,dCPI10mn,CPI10md,CPI10q25,CPI10q75,CPI10Cmn,CPI10Cmntr,CPI10Cmd,dCPI10Cmn,dCPI10Cmd
2020-01-01,2.2323357142857145,2.200225,0.06733201058201121,2.2,2.085,2.3,2.2323357142857145,2.200225,2.2,0.09241200000000001,0.04449999999999976
2020-04-01,2.0979029411764705,2.0989566666666666,-0.13443277310924406,2.135,1.9249999999999998,2.3,2.0979029411764705,2.0989566666666666,2.135,-0.16913703703703706,-0.10000000000000009
2020-07-01,2.0732925925925927,2.0747347826086955,-0.024610348583877784,2.03,1.9,2.25,2.0732925925925927,2.0747347826086955,2.03,0.0016749999999999914,0.0
2020-10-01,2.1447960000000004,2.143039130434782,0.07150340740740768,2.12,2.0,2.26,2.1447960000000004,2.143039130434782,2.12,0.09215789473684212,0.04259999999999997
2021-01-01,2.238406896551724,2.2258,0.0936108965517235,2.2,2.1,2.4,2.238406896551724,2.2258,2.2,0.08495000000000005,0.10000000000000009
2021-04-01,2.353214285714286,2.31625,0.11480738916256206,2.3,2.2,2.5,2.353214285714286,2.31625,2.3,0.12216153846153843,0.0827500000000001
2021-07-01,2.4615499999999995,2.450975,0.10833571428571354,2.4367,2.275,2.6,2.4615499999999995,2.450975,2.4367,0.0897461538461538,0.14500000000000002
2021-10-01,2.5814464285714287,2.5616875,0.11989642857142924,2.55,2.275,2.8,2.5814464285714287,2.5616875,2.55,0.12911923076923076,0.07499999999999973
2022-01-01,2.490123076923077,2.4768,-0.09132335164835181,2.49815,2.201725,2.6,2.490123076923077,2.4768,2.49815,-0.13072083333333334,-0.02499999999999991
2022-04-01,2.7798565217391302,2.742857142857143,0.28973344481605334,2.8,2.55,2.975,2.7798565217391302,2.742857142857143,2.8,0.28440000000000004,0.2999999999999998
2022-07-01,2.887181481481481,2.845821739130435,0.10732495974235068,2.8,2.6500000000000004,3.1,2.887181481481481,2.845821739130435,2.8,0.14623636363636364,0.10000000000000009
2022-10-01,3.065022222222222,3.024156521739131,0.17784074074074097,2.95,2.8,3.2,3.065022222222222,3.024156521739131,2.95,0.1814833333333333,0.09999999999999964
2023-01-01,2.440182142857143,2.4002916666666665,-0.6248400793650788,2.37,2.2,2.6,2.440182142857143,2.4002916666666665,2.37,-0.6137217391304348,-0.6999999999999997
2023-04-01,2.405975,2.3919708333333336,-0.03420714285714288,2.3554500000000003,2.2,2.5,2.405975,2.3919708333333336,2.3554500000000003,-0.0020708333333333364,0.0
2023-07-01,2.4168714285714286,2.4134333333333333,0.010896428571428363,2.4,2.2,2.6,2.4168714285714286,2.4134333333333333,2.4,-0.0015173913043478424,0.0
2023-10-01,2.4318,2.4265,0.014928571428571402,2.4,2.3,2.56,2.4318,2.4265,2.4,0.021481818181818216,0.0
2024-01-01,2.2595444444444444,2.258430434782609,-0.1722555555555556,2.24,2.1,2.3899999999999997,2.2595444444444444,2.258430434782609,2.24,-0.1547590909090909,-0.0950000000000002
2024-04-01,2.4125964285714288,2.398029166666667,0.1530519841269844,2.325,2.2375,2.52,2.4125964285714288,2.398029166666667,2.325,0.13529599999999997,0.10000000000000009
2024-07-01,2.2898962962962965,2.2941391304347825,-0.12270013227513221,2.3,2.1561500000000002,2.4,2.2898962962962965,2.2941391304347825,2.3,-0.10815217391304349,-0.050000000000000266
2024-10-01,2.273942307692308,2.2655208333333334,-0.015953988603988556,2.225,2.1792249999999997,2.3925,2.273942307692308,2.2655208333333334,2.225,-0.03784999999999996,0.0
